eval_variant,class_index,num_examples,num_correct,accuracy,class_name
grayscale,0,95,0,0.0,lasagna
grayscale,1,87,0,0.0,grilled_cheese_sandwich
grayscale,2,82,0,0.0,strudel
grayscale,3,75,0,0.0,greek_salad
grayscale,4,62,1,0.016129032258064516,scotch_egg
grayscale,5,60,9,0.15,waffle
grayscale,6,92,12,0.13043478260869565,chocolate_mousse
grayscale,7,82,13,0.15853658536585366,brisket
grayscale,8,98,5,0.05102040816326531,compote
grayscale,9,92,0,0.0,croquette
grayscale,10,78,0,0.0,stuffed_peppers
grayscale,11,83,0,0.0,confit
grayscale,12,57,0,0.0,salisbury_steak
grayscale,13,91,3,0.03296703296703297,ambrosia_food
grayscale,14,94,0,0.0,fritter
grayscale,15,80,0,0.0,beef_stroganoff
grayscale,16,89,0,0.0,caprese_salad
grayscale,17,68,0,0.0,fried_calamari
grayscale,18,57,0,0.0,poutine
grayscale,19,5,0,0.0,marble_cake
grayscale,20,68,0,0.0,beef_bourguignonne
grayscale,21,75,0,0.0,chicken_curry
grayscale,22,95,28,0.29473684210526313,dumpling
grayscale,23,81,5,0.06172839506172839,crumpet
grayscale,24,65,0,0.0,tamale
grayscale,25,81,0,0.0,grilled_salmon
grayscale,26,68,0,0.0,pilaf
grayscale,27,60,5,0.08333333333333333,rugulah
grayscale,28,87,0,0.0,crab_cake
grayscale,29,90,32,0.35555555555555557,coconut_cake
grayscale,30,67,0,0.0,scrambled_eggs
grayscale,31,62,0,0.0,haggis
grayscale,32,67,0,0.0,tuna_tartare
grayscale,33,72,0,0.0,carbonnade_flamande
grayscale,34,68,0,0.0,entrecote
grayscale,35,83,0,0.0,lobster_food
grayscale,36,99,0,0.0,crab_food
grayscale,37,97,2,0.020618556701030927,barbecued_wing
grayscale,38,72,3,0.041666666666666664,poached_egg
grayscale,39,57,0,0.0,spaghetti_bolognese
grayscale,40,77,10,0.12987012987012986,frozen_yogurt
grayscale,41,51,0,0.0,welsh_rarebit
grayscale,42,86,13,0.1511627906976744,donut
grayscale,43,73,0,0.0,rigatoni
grayscale,44,79,0,0.0,ham_sandwich
grayscale,45,85,0,0.0,edamame
grayscale,46,72,1,0.013888888888888888,taco
grayscale,47,80,0,0.0,adobo
grayscale,48,84,0,0.0,croque_madame
grayscale,49,78,4,0.05128205128205128,risotto
grayscale,50,63,0,0.0,spaghetti_carbonara
grayscale,51,82,0,0.0,wonton
grayscale,52,92,0,0.0,bacon_and_eggs
grayscale,53,65,5,0.07692307692307693,cheesecake
grayscale,54,58,22,0.3793103448275862,blancmange
grayscale,55,84,4,0.047619047619047616,gingerbread
grayscale,56,98,1,0.01020408163265306,chiffon_cake
grayscale,57,81,0,0.0,tempura
grayscale,58,56,0,0.0,hot_and_sour_soup
grayscale,59,86,27,0.313953488372093,boiled_egg
grayscale,60,98,2,0.02040816326530612,coffee_cake
grayscale,61,81,0,0.0,tenderloin
grayscale,62,77,0,0.0,upside_down_cake
grayscale,63,71,0,0.0,beef_wellington
grayscale,64,87,0,0.0,terrine
grayscale,65,60,0,0.0,kedgeree
grayscale,66,51,3,0.058823529411764705,scrapple
grayscale,67,75,0,0.0,ravioli
grayscale,68,82,0,0.0,cottage_pie
grayscale,69,76,0,0.0,guacamole
grayscale,70,105,24,0.22857142857142856,huitre
grayscale,71,92,8,0.08695652173913043,torte
grayscale,72,79,0,0.0,filet_mignon
grayscale,73,98,5,0.05102040816326531,crumb_cake
grayscale,74,70,12,0.17142857142857143,jerky
grayscale,75,60,0,0.0,tamale_pie
grayscale,76,77,0,0.0,applesauce
grayscale,77,55,0,0.0,pho
grayscale,78,84,0,0.0,fried_rice
grayscale,79,74,26,0.35135135135135137,savarin
